atomic #	en	de	lb	nl	af	fy	da	sv	no	is	fo	la	fr	es	ca	oc	pt	gl	it	fur	ro	mo	arm	ru	uk	by	pl	kas	cs	sk	sl	hr	sr	bos	mk	bg	lt	lo	sud	cy	ga	gd	gv	kw	br	el	sq	oss	eu	ka	fi	et	hu	tr	kk	uz	tg	mn	ja	zh	th	vi	ms	ar	mt	he	eo											
65	Terbium	Terbium	Terbium	Terbium	Terbium	Terbium	Terbium	Terbium	Terbium	Terbín	Terbium	Terbium	Terbium	Terbio	Terbi	Terbi	Térbio	Terbio	Terbio	Terbi	Terbiu	Terbiu	Terbiumu	Тербий	Тербій	Тэрбій	Terb	Terb	Terbium	Terbium	Terbij	Terbij	Тербиjум	Terbij	Тербиум	Тербий	Terbis	Terbijs	Terbijan	Terbiwm	Teirbiam	Teirbiam	Çherbium	Terbyum	Terbiom	Τερβιο	Terbium	Тербий	Terbioa	ტერბიუმი	Terbium	Terbium	Terbium	Terbiyum	Тербий	Тербий	Terbi'	Терби	テルビウム [terubiumu]	鋱	เทอร์เบียม	Tecbi	Terbium	تربيوم	Terbjum	טרביום	Terbio
66	Dysprosium	Dysprosium	Dysprosium	Dysprosium	Disprosium	Dysprosium	Dysprosium	Dysprosium	Dysprosium	Dysprósín	Dysprosium	Dysprosium	Dysprosium	Disprosio	Disprosi	Dispròsi	Disprósio	Disprosio	Disprosio	Disprosi	Disprosiu (mo: Dysposiu)	Disprosiu (mo: Dysposiu)	Disproziumu	Диспрозий	Диспрозій	Дыспрозій	Dyspoz	Dispóz	Dysprosium	Dysprosium	Disprozij	Disprozij	Диспрозиjум	Disprozij	Диспрозиум	Диспросий	Disprozis	Disprozijs	Disprāzis	Dysprosiwm	Diospróisiam	Diospròisiam	Dysproshum	Dysprosyum	Disproziom	Δυσπροσιο	Dysproz	Диспрозий	Disprosioa	დისპროზიუმი	Dysprosium	Düsproosium	Diszprózium	Disprosyum	Диспрозий	Диспрозий	Disprozi'	Диспрози	ジスプロシウム [jisupuroshiumu]	鏑	ดิสโพรเซียม	"Đysprosi, Đisprozi"	Disprosium	ديسبروسيوم	Disprożjum	דיספרוסיום	Disprozio
67	Holmium	Holmium	Holmium	Holmium	Holmium	Holmium	Holmium	Holmium	Holmium	Holmín	Holmium	Holmium	Holmium	Holmio	Holmi	Òlmi	Hólmio	Holmio	Olmio	Olmi	Holmiu	Holmiu	Holmiumu	Голъмий	Голъмій	Гольмій	Holm	Hòlm	Holmium	Holmium	Holmij	Holmij	Холмиjум	Holmij	Холмиум	Холъмий	Holmis	Holmijs	Hālmijan	Holmiwm	Hoilmiam	Hoilmiam	Holmium	Holmyum	Holmiom	Όλμιο	Holmium	Голъмий	Holmioa	ჰოლმიუმი	Holmium	Holmium	Holmium	Holmiyum	Голъмий	Голъмий	Gol'mi'	Гольми	ホルミウム [horumiumu]	鈥	โฮลเมียม	"Holmi, Honmi"	Holmium	هلميوم	Holmjum	הולמיום	Holmio
68	Erbium	Erbium	Erbium	Erbium	Erbium	Erbium	Erbium	Erbium	Erbium	Erbín	Erbium	Erbium	Erbium	Erbio	Erbi	Erbi	Érbio	Erbio	Erbio	Erbi	Erbiu	Erbiu	Erbiumu	Эрбий	Ербій	Эрбій	Erb	Érb	Erbium	Erbium	Erbij	Erbij	Ербиjум	Erbij	Ербиум	Ербий	Erbis	Erbijs	Erbijan	Erbiwm	Eirbiam	Eirbiam	Erbium	Erbyum	Erbiom	Ερβιο	Erbium	Эрбий	Erbioa	ერბიუმი	Erbium	Erbium	Erbium	Erbiyum	Эрбий	Эрбий	Erbi'	Эрби	エルビウム [erubiumu]	鉺	เออร์เบียม	Eribi	Erbium	إربيوم	Erbjum	ארביום	Erbio
69	Thulium	Thulium	Thulium	Thulium	Tulium	Thulium	Thulium	Tulium	Thulium	Túlín	Thulium	Thulium	Thulium	Tulio	Tuli	Tuli	Túlio	Tulio	Tulio	Tuli	Tuliu	Tuliu	Tuliumu	Тулий	Тулій	Тулій	Tul	Tul	Thulium	Thulium	Tulij	Tulij	Тулиjум	Tulij	Тулиум	Тулий	Tulis	Tūlijs	Tulijan	Thwliwm	Túiliam	Tùiliam	Thulium	Thulyum	Tuliom	Θουλιο	Tulium	Тулий	Tulioa	თულიუმი	Tulium	Tuulium	Túlium	Tulyum	Тулий	Тулий	Tuli'	Тули	ツリウム [tsuriumu]	銩	ทูเลียม	Tuli	Tulium	ثليوم	Tuljum	תוליום	Tulio
70	Ytterbium	Ytterbium	Ytterbium	Ytterbium	Itterbium	Ytterbium	Ytterbium	Ytterbium	Ytterbium	Ytterbín	Ytterbium	Ytterbium	Ytterbium	Iterbio	Iterbi	Itterbi	Itérbio	Iterbio	Itterbio	Iterbi	Yterbiu	Yterbiu	Iterbiumu	Иттербий	Iтербій	Iтэрбій	Iterb	Éterb	Ytterbium	Ytterbium	Iterbij	Iterbij	Итербиjум	Iterbij	Итербиум	Итербий	Iterbis	Iterbijs	Iterbis	Yterbiwm	Itéirbiam	Itèirbiam	Ytterbium	Yterbyum	Iterbiom	Υττερβιο	Iterb	Иттербий	Iterbioa	იტერბიუმი	Ytterbium	Üterbium	Itterbium	İtterbiyum	Иттербий	Иттербий	Itterbi'	Иттерби	イッテルビウム [itterubiumu]	鐿	อิตเทอร์เบียม	Ytecbi	"Yterbium, Iterbium"	يتربيوم	Itterbjum	איטרביום	Iterbio
71	Lutetium	Lutetium	Lutetium	Lutetium	Lutetium	Lutetium	Lutetium	Lutetium	Lutetium	Lútesín	Lutetium	Lutetium	Lutécium	Lutecio	Luteci	Luteci	Lutécio	Lutecio	Lutezio	Lutezi	Luteţiu	Luteţiu	Lutetsiumu	Лютеций	Лютецій	Лютэцый	Lutet	Lutet	Lutecium	Lutecium	Lutecij	Lutecij	Лутециjум	Lutecij	Лутециум	Лютеций	Liutecis	Lutēcijs	Liutecis	Lwtetiwm	Lúitéitiam	Luitèitiam	Lootaiçhum	Lutetyum	Lutesiom	Λουτετσιο	Lutec	Лютеций	Lutezioa	ლუტეციუმი	Lutetium	Luteetsium	Lutécium	Lutesyum	Лютеций	Лютеций	Lyuteci'	Лютеци	ルテチウム [rutechiumu]	鑥	ลูทีเชียม	Lutexi	"Lutetium, Lutesium"	لوتيتيوم	Lutizjum	לוטטיום	Lutecio
72	Hafnium	Hafnium	Hafnium	Hafnium	Hafnium	Hafnium	Hafnium	Hafnium	Hafnium	Hafnín	Hafnium	Hafnium	Hafnium	Hafnio	Hafni	Afni	Háfnio	Hafnio	Hafnio	Afni	Hafniu	Hafniu	Hafniumu	Гафний	Гафній	Гафній	Hafn	Hafen	Hafnium	Hafnium	Hafnij	Hafnij	Хафниjум	Hafnij	Хафниум	Хафиий	Hafnis	Hafnijs	Hafnijan	Haffniwm	Haifniam	Haifniam	Hafnium	Hafnyum	Hafniom	Άφνιο	Hafnium	Гафний	Hafnioa	ჰაფნიუმი	Hafnium	Hafnium	Hafnium	Hafniyum	Гафний	Гафний	Gafni'	Гафни	ハフニウム [hafuniumu]	鉿	แฮฟเนียม	Hafini	Hafnium	هفنيوم	Ħafnjum	הפניום	Hafnio
73	Tantalum	Tantal	Tantal	Tantaal	Tantaal	Tantaal	Tantal	Tantal	Tantal	Tantal	Tantal	Tantalum	Tantale	Tántalo	Tàntal	Tantal	Tântalo	Tántalo	Tantalio	Tantali	Tantal	Tantal	Tantalu	Тантал	Тантал	Тантал	Tantal	Tantôl	Tantal	Tantal	Tantal	Tantal	Тантал	Tantal	Тантал	Тантал	Tantalas	Tantals	Tantalas	Tantalwm	Tantalam	Tantalam	Tantalum	Tantalum	Tantal	Τανταλιο	Tantal	Тантал	Tantalioa	ტანტალი	Tantaali	Tantaal	Tantál	Tantal	Тантал	Тантал	Tantal	Тантал	タンタル [tantaru]	鉭	แทนทาลัม	"Tantali, Tantan"	Tantalum	تنتالم	Tantalum	טנטלום	Tantalo
74	Tungsten	Wolfram	Wolfram	Wolfraam	Wolfraam	Wolfraam	Wolfram	Volfram	Wolfram	Þungsteinn or Volfram	Wolfram	Wolframium	Tungstène	Wolframio or Tungsteno	Tungstè	Tungstèn	Tungsténio	Volframio	Tungsteno	"Tungsten, Volframi"	Wolfram (ro²: Tungsten)	Wolfram (ro²: Tungsten)	Wolframu	Вольфрам	Вольфрам	Вальфрам	Wolfram	Wòlfram	Wolfram (Težík †)	Wolfram	Volfram	Volfram	Волфрам	Volfram	Волфрам	Волфрам	Volframas	Volframs	Vālframas	Twngsten	Tungstan	Tungstan	Tungsten	Tungsten	Tungsten	Βολjραμιο	Volfram	Вольфрам	Wolframioa	ვოლფრამი	Volframi	Volfram	Volfrám	Volfram	Вольфрам	Вольфрам	Vol'fram	"Вольфрам, Гянт, Хөглөгч"	タングステン [tangusuten]	鎢	ทังสเตน (วุลแฟรม)	Vonfam	Wolfram	تنجستين	Tangstinn	טונגסטן	Volframo
75	Rhenium	Rhenium	Rhenium	Rhenium	Rhenium	Rhenium	Rhenium	Rhenium	Rhenium	Renín	Renium	Rhenium	Rhénium	Renio	Reni	Reni	Rénio	Renio	Renio	Reni	Reniu	Reniu	Reniumu	Рений	Реній	Рэній	Ren	Rén	Rhenium	Rhenium	Renij	Renij	Рениjум	Renij	Рениум	Рений	Renis	Rēnijs	Renijan	Rheniwm	Réiniam	Rèiniam	Rainium	Rhenyum	Reniom	Ρηνιο	Renium	Рений	Renioa	რენიუმი	Renium	Reenium	Rénium	Renyum	Рений	Рений	Reni'	Рени	レニウム [reniumu]	錸	รีเนียม	Reni	Renium	رنيوم	Rinjum	רניום	Renio
76	Osmium	Osmium	Osmium	Osmium	Osmium	Osmium	Osmium	Osmium	Osmium	Osmín	Osmium	Osmium	Osmium	Osmio	Osmi	Òsmi	Ósmio	Osmio	Osmio	Osmi	Osmiu	Osmiu	Osmiumu	Осмий	Осмій	Осмій	Osm	Òsm	Osmium	Osmium	Osmij	Osmij	Осмиjум	Osmij	Осмиум	Осмий	Osmis	Osmijs	Usmijan	Osmiwm	Oismiam	Oismiam	Osmium	Osmyum	Osmiom	Οσμιο	Osmium	Осмий	Osmioa	ოსმიუმი	Osmium	Osmium	Ozmium	Osmiyum	Осмий	Осмий	Osmi'	Осми	オスミウム [osumiumu]	鋨	ออสเมียม	"Osimi, Osmi"	Osmium	ازميوم	Ożmjum	אוסמיום	Osmio
77	Iridium	Iridium	Iridium	Iridium	Iridium	Iridium	Iridium	Iridium	Iridium	Iridín	Iridium	Iridium	Iridium	Iridio	Iridi	Iridi	Irídio	Iridio	Iridio	Iridi	Iridiu	Iridiu	Iridiumu	Иридий	Iридій	Iрыдый	Iryd	Jirid	Iridium	Iridium	Iridij	Iridij	Иридиjум	Iridij	Иридиум	Иридий	Iridis	Irīdijs	Iridijan	Iridiwm	Iridiam	Iridiam	Iriddjum	Yrydyum	Iridiom	Ιριδιο	Irid	Иридий	Iridioa	ირიდიუმი	Iridium	Iriidium	Irídium	İridyum	Иридий	Иридий	Iridi'	Ириди	イリジウム [irijiumu]	銥	อิริเดียม	Iriđi	Iridium	إريديوم	Iridjum	אירידיום	Iridio
78	Platinum	Platin	Platin	Platina (Witgoud †)	Platinum (Witgoud †)	Platina	Platin	Platina	Platina	Platína	Platin	Platinum	Platine	Platino	Platí	Platin	Platina	Platino	Platino	Platin	Platină	Platină	Platinã	Платина	Платина	Плаціна	Platyna	Platina	Platina	Platina	Platina	Platina	Платина	Platinum	Платина	Платина	Platina	Platīns	Platinā	Platinwm	Platanam	Platanam	Platinum	Platynum	Platin	Λευκοχρυσος	Platin	Платина	Platinoa	პლატინა	Platina	Plaatina	Platina	Platin	Платина	Платина	Platina	"Платин, Цагаан алт"	白金 [hakkin]	鉑	แพลทินัม	Platin	"Platinum, Platina"	بلاتين	Platinum	פלטינה	Plateno
79	Gold	Gold	Gold	Goud	Goud	Goud	Guld	Guld	Gull	Gull	Gull	Aurum	Or	Oro	Or	Aur	Ouro	Ouro	Oro	Aur	Aur	Aur	Amalãmã	Золото	Золото	Золата	Złoto	Złoto	Zlato	Zlato	Zlato	Zlato	Злато	Zlato	Злато	Злато	Auksas	Zelts	Ausas	Aur	Ór	Òr	Airh	Owr	Aour	Χρυσος	Ar	Сызгъæрин	Urrea	ოქრო	Kulta	Kuld	Arany	Altın	Алтын	Олтин	Tillo	"Алт, Алтан"	金 [kin]	金	ทองคำ	Vàng	"Aurum, Emas"	ذهب	Deheb	זהב	Oro
80	Mercury	Quecksilber	Quecksëlwer	Kwik (Kwikzilver †)	Kwik	"Kwik, Kwiksulver"	Kviksølv	Kvicksilver	Kvikksølv	Kvikasilfur	Kviksilvur	Hydrargyrum	Mercure	Mercurio	Mercuri	Mercuri	Mercúrio	Mercurio	Mercurio	Mercuri	Mercur	Mercur	Mercuru	Ртуть	Ртуть	Ртуць	Rtęć	Tãź	Rtuť	Ortut	Živo srebro	Živa	Жива	Živa	Жива	Живак	Gyvsidabris	Dzīvsudrabs	Gīvsirablis	Mercwri	Mearcair	Mearcair	Mercur	Arhans Bew	Merkur	Ύδραργυρος	Mërkur	Джынасу	Merkurioa	ვერცხლის წყალი	Elohopea	Elavhõbe	Higany	Civa	Сынап	Симоб	Simob	(Улаан) мөнгөн ус	水銀 [suigin]	汞	ปรอท	Thuỷ ngân	"Merkuri, Raksa"	زئبق	Merkurju	כספית	Hidrargo
81	Thallium	Thallium	Thallium	Thallium	Tallium	Thallium	Thallium	Tallium	Thallium	Þallín	Thallium	Thallium	Thallium	Talio	Tal·li	Talli	Tálio	Talio	Tallio	Tali	Taliu	Taliu	Taliumu	Таллий	Талій	Талій	Tal	Tôl	Thallium	Thallium	Talij	Talij	Талиjум	Talij	Талиум	Таллий	Talis	Tallijs	Talijan	Thaliwm	Tailliam	Tailliam	Thallium	Thalyum	Taliom	Θαλλιο	Talium	Таллий	Talioa	თალიუმი	Tallium	Tallium	Tallium	Talyum	Таллий	Таллий	Talli'	Талли	タリウム [tariumu]	鉈	แทลเลียม	Tali	Talium	ثاليوم	Talljum	תליום	Talio
82	Lead	Blei	Blei	Lood	Lood	Lead	Bly	Bly	Bly	Blý	Blýggj	Plumbum	Plomb	Plomo	Plom	Plomb	Chumbo	Chumbo	Piombo	Plomp	Plumb	Plumb	Plumbu	Свинец	Свинець	Цвінец	Ołów	Òłów	Olovo	Olovo	Svinec	Olovo	Олово	Olovo	Олово	Олово	Švinas	Svins	Svinas	Plwm	Luaidhe	Luaidh	Leoaie	Plom	Plom	Μολυβδος	Plumb	Зды	Beruna	ტყვია	Lyijy	Plii	Ólom	Kurşun	Къоргъасын	Кўргошин	Surb	Хар тугалга	鉛 [namari]	鉛	ตะกั้ว	Chì	"Plumbum, Timbal"	رصاص	Ċomb	עופרת	Plumbo
83	Bismuth	Wismut	Wismut	Bismut	Bismut	Bismut	Bismuth or Vismuth	Vismut	Vismut	Bismút	Vismut	Bisemutum	Bismuth	Bismuto	Bismut	Bismut	Bismuto	Bismuto	Bismuto	Bismut	Bismut	Bismut	Bizmuth	Висмут	Вісмут	Вісмут	Bizmut	Bizmùt	Bismut	Bismut	Bizmut	Bizmut	Бизмут	Bizmut	Висмут	Бисмут	Bismutas	Bismuts	Bismutas	Bismwth	Biosmat	Biosmat	Bismut	Bysmuth	Bismut	Βισμουθιο	Bizmut	Висмут	Bismutoa	ბისმუტი	Vismutti	Vismut	Bizmut	Bizmut	Висмут	Висмут	Vismut	Висмут	ビスマス [bisumusu]	鉍	บิสมัท	"Bitmut, Bismut"	Bismut	بزموث	Biżmut	ביסמות	Bismuto
84	Polonium	Polonium	Polonium	Polonium	Polonium	Polonium	Polonium	Polonium	Polonium	Pólon	Polonium	Polonium	Polonium	Polonio	Poloni	Polòni	Polónio	Polonio	Polonio	Poloni	Poloniu	Poloniu	Poloniumu	Полоний	Полоній	Палоній	Polon	Pòlón	Polonium	Polonium	Polonij	Polonij	Полониjум	Polonij	Полониум	Полоний	Polonis	Polonijs	Pālanis	Poloniwm	Polóiniam	Polòiniam	Polonium	Polonyum	Poloniom	Πολωνιο	Polonium	Полоний	Polonioa	პოლონიუმი	Polonium	Poloonium	Polónium	Polonyum	Полоний	Полоний	Poloni'	Полони	ポロニウム [poroniumu]	釙	พอโลเนียม	Poloni	Polonium	بولونيوم	Polonjum	פולוניום	Polonio
85	Astatine	Astat	Astat	Astaat	Astaat	Astaat	Astat	Astat	Astat	Astat	Astatan	Astatium	Astate	Astato	Àstat	Astat	Astato	Astato	Astato	Astat	Astatin (mo: Astatiniu)	Astatin (mo: Astatiniu)	Astatu	Астат(ин)	Астат	Астат	Astat	Astat	Astat	Astat	Astat	Astat	Астат	Astat	Астат	Астатин	Astatinas	Astats	Astatinas	Astatin	Astaitín	Astaitain	Astaçheen	Astatyn	Astat	Αστατο	Astat	Астат(ин)	Astatoa	ასტატი	Astatiini	Astaat	Asztácium	Asatatin	Астатин	Астат	Astat	Астат	アスタチン [asutachin]	砹	แอสทาทีน	Astatin	Astatin	استاتين	Astatin	אסטטין	Astateno
86	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radon	Radón	Radó	Radon	Rádon	Radon	Radon	Radon	Radon	Radon	Radon	Радон	Радон	Радон	Radon	Redón	Radon	Radon	Radon	Radon	Радон	Radon	Радон	Радон	Radonas	Radons	Radonan	Radon	Radón	Radon	Raadon	Radon	Radon	Ραδονιο	Radon	Радон	Radona	რადონი	Radon	Radoon	Radon	Radon	Радон	Радон	Radon	Радон	ラドン [radon]	氡	เรดอน	Rađơn	Radon	رادون	Radon	רדון	Radono
87	Francium	Franzium	Franzium	Francium	Fransium	Francium	Francium	Francium	Francium	Fransín	Francium	Francium	Francium	Francio	Franci	Franci	Frâncio	Francio	Francio	Franci	Franciu	Franciu	Frantsiumu	Франций	Францій	Францый	Frans	Frãs	Francium	Francium	Francij	Francij	Франциjум	Francij	Франциум	Франций	Francis	Francijs	Francis	Ffransiwm	Frainciam	Frainciam	Frankium	Frankyum	Frañsiom	Φραγκιο	Francium	Франций	Frantzioa	ფრანციუმი	Frankium	Frantsium	Francium	Fransiyum	Франций	Франций	Franci'	Франци	フランシウム [furanshiumu]	鈁	แฟรนเซียม	Franxi	Fransium	فرنسيوم	Fransjum	פרנסיום	Francio
88	Radium	Radium	Radium	Radium	Radium	Radium	Radium	Radium	Radium	Radín	Radium	Radium	Radium	Radio	Radi	Radi	Rádio	Radio	Radio	Radi	Radiu	Radiu	Radiumu	Радий	Радій	Радый	Rad	Rôd	Radium	Radium	Radij	Radij	Радиjум	Radij	Радиум	Радий	Radis	Rādijs	Radijan	Radiwm	Raidiam	Raidiam	Raadjum	Radyum	Radiom	Ραδιο	Radium	Радий	Radioa	რადიუმი	Radium	Raadium	Rádium	Radyum	Радий	Радий	Radi'	Ради	ラジウム [rajiumu]	鐳	เรเดียม	Rađi	Radium	راديوم	Radjum	רדיום	Radiumo
89	Actinium	Aktinium	Aktinium	Actinium	Aktinium	Actinium	Actinium	Aktinium	Actinium	Aktín	Actinium	Actinium	Actinium	Actinio	Actini	Actini	Actínio	Actinio	Attinio	Atini	Actiniu	Actiniu	Actiniumu	Актиний	Актиній	Актыній	Aktyn	Aktin	Aktinium	Aktinium	Aktinij	Aktinij	Актиниjум	Aktinij	Актиниум	Актиний	Aktinis	Aktīnijs	Aktinijan	Actiniwm	Achtainiam	Aictiniam	Aghtinnium	Actynyum	Aktiniom	Ακτινιο	Aktin	Актиний	Aktinioa	აქტინიუმი	Aktinium	Aktiinium	Aktínium	Aktinyum	Актиний	Актиний	Aktini'	Актини	アクチニウム [akuchiniumu]	錒	แอกทิเนียม	Actini	Aktinium	اكتنيوم	Aktinjum	אקטיניום	Aktinio
90	Thorium	Thorium	Thorium	Thorium	Torium	Thorium	Thorium	Torium	Thorium	Þórín	Thorium	Thorium	Thorium	Torio	Tori	Tòri	Tório	Torio	Torio	Tori	Toriu (mo: Thoriu)	Toriu (mo: Thoriu)	Toriumu	Торий	Торій	Торый	Tor	Tor	Thorium	Thorium	Torij	Torij	Ториjум	Torij	Ториум	Торий	Toris	Torijs	Tāris	Thoriwm	Tóiriam	Tòiriam	Thorium	Thoryum	Toriom	Θοριο	Torium	Торий	Torioa	თორიუმი	Torium	Toorium	Tórium	Toryum	Торий	Торий	Tori'	Тори	トリウム [toriumu]	釷	ทอเรียม	Thori	Torium	ثوريوم	Torjum	תוריום	Torio
91	Protactinium	Protaktinium	Protaktinium	Protactinium	Protaktinium	Protactinium	Protactinium	Protaktinium	Protactinium	Protaktín	Protaktinium	Protactinium	Protactinium	Protactinio	Protactini	Protactini	Protacnídio	Protactinio	Protoattinio	Protoatini	Protactiniu (mo: Protoactiniu)	Protactiniu (mo: Protoactiniu)	Protactiniumu	Протактиний	Протактиній	Пратактыній	Proaktyn	Protaktin	Protaktinium	Protaktinium	Protaktinij	Protaktinij	Протоактиниjум	Protaktinij	Протактиниум	Протактиний	Protaktinis	Protaktīnijs	Prātaktinis	Protoactiniwm	Prótachtainiam	Pròtactainiam	Protaghtinnium	Protoactynyum	Protaktiniom	Πρωτακτινιο	Protaktin	Протактиний	Protaktinioa	პროტაქტინიუმი	Protaktinium	Protaktiinium	Protaktínium	Protaktinyum	Протактиний	Протактиний	Protaktini'	Протактини	プロトアクチニウム [purotoakuchiniumu]	鏷	โพรแทกทิเนียม	Protactini	Protaktinium	بروتكتنيوم	Protaktinjum	פרוטקטיניום	Protaktinio
92	Uranium	Uran	Uran	Uraan	Uraan	Uranium	Uran	Uran	Uran	Úran	Uran	Uranium	Uranium	Uranio	Urani	Urani	Urânio	Uranio	Uranio	Urani	Uraniu	Uraniu	Uraniumu	Уран	Уран	Уран	Uran	Ùran	Uran (Nebesník †)	Uran	Uran	Uranij	Уран	Uran	Ураниум	Уран	Uranas	Urāns	Uranajan	Uraniwm	Úráiniam	Uràiniam	Uraanium	Uranyum	Uraniom	Ουρανιο	Uranium	Уран	Uranioa	ურანი	Uraani	Uraan	Urán	Uranyum	Уран	Уран	Uran	Уран	ウラン [uran]	鈾	ยูเรเนียม	"Urani, Uran"	Uranium	يورانيوم	Uranjum	אורניום	Uranio
93	Neptunium	Neptunium	Neptunium	Neptunium	Neptunium	Neptunium	Neptunium	Neptunium	Neptunium	Neptún	Neptunium	Neptunium	Neptunium	Neptunio	Neptuni	Neptuni	Neptúnio	Neptunio	Nettunio	Netuni	Neptuniu	Neptuniu	Neptuniumu	Нептуний	Нептуній	Нептуній	Neptun	Neptun	Neptunium	Neptunium	Neptunij	Neptunij	Нептуниjум	Neptunij	Нептуниум	Нептуний	Neptūnas	Neptūnijs	Neptunas	Neptwniwm	Neiptiúiniam	Neiptiùiniam	Nepçhunium	Neptunyum	Neptuniom	Ποσeιδωνιο	Neptun	Нептуний	Neptunioa	ნეპტუნიუმი	Neptunium	Neptuunium	Neptúnium	Neptunyum	Нептуний	Нептуний	Neptuni'	Нептуни	キプツニウム [neputsuniumu]	鎿	เนปทูเนียม	Neptuni	Neptunium	نبتونيوم	Neptunjum	נפטוניום	Neptunio
94	Plutonium	Plutonium	Plutonium	Plutonium	Plutonium	Plutonium	Plutonium	Plutonium	Plutonium	Plúton	Plutonium	Plutonium	Plutonium	Plutonio	Plutoni	Plutòni	Plutónio	Plutonio	Plutonio	Plutoni	Plutoniu	Plutoniu	Plutoniumu	Плутоний	Плутоній	Плутоній	Pluton	Plutón	Plutonium	Plutonium	Plutonij	Plutonij	Плутониjум	Plutonij	Плутониум	Плутоний	Plutonis	Plutonijs	Plutānis	Plwtoniwm	Plútóiniam	Plutòiniam	Plutonium	Plutonyum	Plutoniom	Πλουτωνιο	Plutonium	Плутоний	Plutonioa	პლუტონიუმი	Plutonium	Plutoonium	Plutónium	Plutonyum	Плутоний	Плутоний	Plutoni'	Плутони	プルトニウム [purutoniumu]	鈈	พลูโทเนียม	Plutoni	Plutonium	بلوتونيوم	Plutonjum	פלוטוניום	Plutonio
95	Americium	Amerizium	Amerizium	Americium	Americium	Americium	Americium	Americium	Americium	Ameríkín	Americium	Americium	Américium	Americio	Americi	Americi	Amerício	Americio	Americio	Americi	Americiu	Americiu	Ameritsiumu	Америций	Америцій	Амерыцый	Ameryk	Amerik	Americium	Americium	Americij	Americij	Америциjум	Americij	Америциум	Америций	Americis	Amerīcijs	Americis	Americiwm	Aimeiriciam	Aimeiriciam	Americium	Amerycanyum	Amerikiom	Αμερικιο	Americ	Америций	Amerizioa	ამერიციუმი	Amerikium	Ameriitsium	Amerícium	Amerikyum	Америций	Америций	Americi'	Америци	アメリシウム [amerishiumu]	鎇	อะเมริเซียม	Amerixi	Amerisium	أمريكيوم	Amerizjum	אמריציום	Americio
96	Curium	Kurium	Kurium	Curium	Kurium	Curium	Curium	Curium	Curium	Kúrín	Kurium	Curium	Curium	Curio	Curi	Curi	Cúrio	Curio	Curio	Curi	Curiu	Curiu	Chiriumu	Кюрий	Кюрій	Кюрый	Kiur	Czur	Curium	Curium	Kirij	Kurij	Кириjум	Kirij	Кириум	Кюрий	Kiuris	Kirijs	Kiurijan	Curiwm	Ciúiriam	Cùriam	Curium	Curyum	Kuriom	Κιουριο	Kirium	Кюрий	Kurioa	კიურიუმი	Curium	Kuurium	Kűrium	Curiyum	Кюрий	Кюрий	Kyuri'	Кюри	キュリウム [kyuriumu]	鋦	คูเรียม	Curi	Kurium	كوريوم	Kurjum	קיוריום	Kuriumo
97	Berkelium	Berkelium	Berkelium	Berkelium	Berkelium	Berkelium	Berkelium	Berkelium	Berkelium	Berkelín	Berkelium	Berkelium	Berkélium	Berkelio	Berkeli	Berkeli	Berqueélio	Berkelio	Berkelio	Bercheli	Berkeliu	Berkeliu	Bercheliumu	Беркелий	Беркелій	Берклій	Bekerel	Bekerél	Berkelium	Berkelium	Berkelij	Berkelij	Беркелиjум	Berkelij	Беркелиум	Берклий	Berklis	Berklijs	Berklis	Berkeliwm	Beircéiliam	Beircèiliam	Berkelium	Berkelyum	Berkeliom	Μπερκελιο	Berkelium	Беркелий	Berkelioa	ბერკლიუმი	Berkelium	Berkeelium	Berkélium	Berkelyum	Беркелий	Берклий	Berkli'	Беркли	バークリウム [baakuriumu]	錇	เบอร์คีเลียม	Beckeli	Berkelium	بركليوم	Berkeljum	ברקליום	Berkelio
98	Californium	Kalifornium	Kalifornium	Californium	Kalifornium	Californium	Californium	Californium	Californium	Kalifornín	Kalifornium	Californium	Californium	Californio	Californi	Califòrni	Califórnio	Californio	Californio	Californi	Californiu	Californiu	Californiumu	Калифорний	Каліфорній	Каліфорній	Kaliforn	Kalifòrn	Kalifornium	Kalifornium	Kalifornij	Kalifornij	Калифорниjум	Kalifornij	Калифорниум	Калифорний	Kalifornis	Kalifornijs	Kalifornis	Califforniwm	Calafoirniam	Calafoirniam	Californium	Calyfornyum	Kaliforniom	Καλιφορνιο	Kalifornium	Калифорний	Kalifornioa	კალიფორნიუმი	Kalifornium	Kalifornium	Kalifornium	Kaliforniyum	Калифорний	Калифорний	Kaliforni'	Калифорни	カリホルニウム [karihoruniumu]	鐦	แคลิฟอร์เนียม	Califoni	Kalifornium	كاليفورنيوم	Kalifornjum	קליפורניום	Kalifornio
